Well,Sample ID,Range,ng/uL,%Total,nmole/L,Avg. Size,%CV,Volume uL,QC Result,Failure Mode,Index Name,PCR Cycles
C1,LBBBMYB,400 bp to 800 bp,0.69,15,1.897,598.0,20,20,Pass,,PE17_B01,12
E1,LBBBMYC,400 bp to 800 bp,1.247,15,3.351,612.0,20,20,Pass,,PE17_C01,12
G1,LBBBMYD,400 bp to 800 bp,1.009,15,2.725,609.0,20,20,Pass,,PE17_D01,12
I1,LBBBMZZ,400 bp to 800 bp,1.374,15,3.802,595.0,20,20,Pass,,PE17_E01,12
K1,LBBBNBN,400 bp to 800 bp,0.946,15,2.564,607.0,20,20,Pass,,PE17_F01,12
M1,LBBBNCB,400 bp to 800 bp,0.974,15,2.641,607.0,20,20,Pass,,PE17_G01,12
A3,LBBBMYF,400 bp to 800 bp,1.724,15,4.621,614.0,20,20,Pass,,PE17_A02,12
E3,LBBBMYG,400 bp to 800 bp,0.58,15,1.532,623.0,20,20,Pass,,PE17_C02,12
G3,LBBBMYH,400 bp to 800 bp,0.908,15,2.487,601.0,20,20,Pass,,PE17_D02,12
I3,LBBBNBB,400 bp to 800 bp,2.022,15,5.446,611.0,20,20,Pass,,PE17_E02,12
K3,LBBBNBP,400 bp to 800 bp,1.028,15,2.779,609.0,20,20,Pass,,PE17_F02,12
M3,LBBBNCC,400 bp to 800 bp,1.35,15,3.602,617.0,20,20,Pass,,PE17_G02,12
O3,LBBBNCP,400 bp to 800 bp,1.336,15,3.631,606.0,20,20,Pass,,PE17_H02,12
A5,LBBBMYJ,400 bp to 800 bp,2.354,15,6.412,604.0,20,20,Pass,,PE17_A03,12
C5,LBBBMYK,400 bp to 800 bp,1.543,15,4.196,605.0,20,20,Pass,,PE17_B03,12
E5,LBBBMYL,400 bp to 800 bp,0.903,15,2.43,612.0,20,20,Pass,,PE17_C03,12
G5,LBBBMYM,400 bp to 800 bp,0.93,15,2.577,594.0,20,20,Pass,,PE17_D03,12
I5,LBBBNBC,400 bp to 800 bp,0.745,15,1.986,617.0,20,20,Pass,,PE17_E03,12
K5,LBBBNBQ,400 bp to 800 bp,0.844,15,2.292,606.0,20,20,Pass,,PE17_F03,12
M5,LBBBNCD,400 bp to 800 bp,0.4,15,1.082,609.0,20,20,Pass,,PE17_G03,12
O5,LBBBNCQ,400 bp to 800 bp,0.936,15,2.484,621.0,20,20,Pass,,PE17_H03,12
A7,LBBBMYN,400 bp to 800 bp,0.472,15,1.267,613.0,20,20,Pass,,PE17_A04,12
C7,LBBBMYP,400 bp to 800 bp,1.035,15,2.792,610.0,20,20,Pass,,PE17_B04,12
E7,LBBBMYQ,400 bp to 800 bp,1.229,15,3.335,607.0,20,20,Pass,,PE17_C04,12
G7,LBBBMYR,400 bp to 800 bp,0.8,15,2.196,600.0,20,20,Pass,,PE17_D04,12
I7,LBBBNBD,400 bp to 800 bp,0,15,0,0,20,20,Fail,Sample Problem,PE17_E04,12
K7,LBBBNBR,400 bp to 800 bp,0,15,0,0,20,20,Fail,Sample Problem,PE17_F04,12
M7,LBBBNCF,400 bp to 800 bp,0.765,15,2.085,604.0,20,20,Pass,,PE17_G04,12
O7,LBBBNCR,400 bp to 800 bp,1.13,15,3.079,604.0,20,20,Pass,,PE17_H04,12
A9,LBBBMYS,400 bp to 800 bp,1.786,15,4.907,599.0,20,20,Pass,,PE17_A05,12
E9,LBBBMYT,400 bp to 800 bp,0.454,15,1.218,613.0,20,20,Pass,,PE17_C05,12
G9,LBBBMYV,400 bp to 800 bp,0.995,15,2.659,616.0,20,20,Pass,,PE17_D05,12
I9,LBBBNBF,400 bp to 800 bp,0,15,0,0,20,20,Fail,Sample Problem,PE17_E05,12
K9,LBBBNBS,400 bp to 800 bp,0.367,15,1.023,589.0,20,20,Pass,,PE17_F05,12
M9,LBBBNCG,400 bp to 800 bp,0.424,15,1.131,617.0,20,20,Pass,,PE17_G05,12
O9,LBBBNCS,400 bp to 800 bp,0.868,15,2.36,605.0,20,20,Pass,,PE17_H05,12
A11,LBBBMYW,400 bp to 800 bp,1.894,15,5.354,582.0,20,20,Pass,,PE17_A06,12
C11,LBBBMYX,400 bp to 800 bp,2.514,15,6.779,610.0,20,20,Pass,,PE17_B06,12
