plate_name,project,sample,plate_number,is_custom,barcode,created_timestamp
BP9735_SitukAM.1,BP9735,SitukAM,1,False,D8SAO.1,2026-02-24T08:38:32.760742
BP9735_SitukAM.2,BP9735,SitukAM,2,False,D8SAO.2,2026-02-24T08:38:32.779040
BP9735_SitukAM.3,BP9735,SitukAM,3,False,D8SAO.3,2026-02-24T08:38:32.779065
BP9735_SitukaPM.1,BP9735,SitukaPM,1,False,D8SAO.4,2026-02-24T08:38:32.779081
BP9735_SitukaPM.2,BP9735,SitukaPM,2,False,D8SAO.5,2026-02-24T08:38:32.779096
BP9735_SitukaPM.3,BP9735,SitukaPM,3,False,D8SAO.6,2026-02-24T08:38:32.779111
BP9735_WCBP1AM.1,BP9735,WCBP1AM,1,False,D8SAO.7,2026-02-24T08:38:32.779125
BP9735_WCBP1AM.2,BP9735,WCBP1AM,2,False,D8SAO.8,2026-02-24T08:38:32.779140
BP9735_WCBP1AM.3,BP9735,WCBP1AM,3,False,D8SAO.9,2026-02-24T08:38:32.779154
BP9735_WCBP1AM.4,BP9735,WCBP1AM,4,False,D8SAO.10,2026-02-24T08:38:32.779169
BP9735_WCBP1PR.1,BP9735,WCBP1PR,1,False,D8SAO.11,2026-02-24T08:38:32.779183
BP9735_WCBP1PR.2,BP9735,WCBP1PR,2,False,D8SAO.12,2026-02-24T08:38:32.779198
BP9735_WCBP1PR.3,BP9735,WCBP1PR,3,False,D8SAO.13,2026-02-24T08:38:32.779213
BP9735_WCBP1PR.4,BP9735,WCBP1PR,4,False,D8SAO.14,2026-02-24T08:38:32.779227
BP9735_WCBP1PR.5,BP9735,WCBP1PR,5,False,D8SAO.15,2026-02-24T08:38:32.779241
Rex_badass_custom.1,CUSTOM,CUSTOM,1,True,D8SAO.16,2026-02-24T08:38:32.779256
MA_test_44.1,CUSTOM,CUSTOM,1,True,D8SAO.17,2026-02-24T08:38:32.779295
Custom_Plate_Test,CUSTOM,CUSTOM,1,True,D8SAO.18,2026-02-24T08:38:32.779313
Special_Lab_Plate.2,CUSTOM,CUSTOM,1,True,D8SAO.19,2026-02-24T08:38:32.779871
