Well,Sample ID,Range,ng/uL,%Total,nmole/L,Avg. Size,%CV,Volume uL,QC Result,Failure Mode,Index Name,PCR Cycles
A1,Lib_100,400 bp to 800 bp,42.79,15,97.834,720.0,20,20,Pass,,PE20_A01,12
O1,Lib_101,400 bp to 800 bp,54.01,15,119.404,744.0,20,20,Pass,,PE20_H01,12
C3,Lib_102,400 bp to 800 bp,3.344,15,9.056,608.0,20,20,Pass,,PE20_B02,12
E3,Lib_103,400 bp to 800 bp,2.39,15,6.516,604.0,20,20,Pass,,PE20_C02,12
G3,Lib_104,400 bp to 800 bp,5.688,15,15.564,601.0,20,20,Pass,,PE20_D02,12
I3,Lib_105,400 bp to 800 bp,4.636,15,12.582,606.0,20,20,Pass,,PE20_E02,12
K3,Lib_106,400 bp to 800 bp,4.846,15,13.298,600.0,20,20,Pass,,PE20_F02,12
M3,Lib_107,400 bp to 800 bp,2.6,15,7.044,607.0,20,20,Pass,,PE20_G02,12
O3,Lib_108,400 bp to 800 bp,4.746,15,12.916,605.0,20,20,Pass,,PE20_H02,12
A5,Lib_109,400 bp to 800 bp,3.526,15,9.58,606.0,20,20,Pass,,PE20_A03,12
C5,Lib_110,400 bp to 800 bp,3.626,15,10.054,594.0,20,20,Pass,,PE20_B03,12
G5,Lib_111,400 bp to 800 bp,1.182,15,3.226,603.0,20,20,Pass,,PE20_D03,12
K5,Lib_112,400 bp to 800 bp,1.198,15,3.242,608.0,20,20,Pass,,PE20_F03,12
M5,Lib_113,400 bp to 800 bp,2.07,15,5.668,601.0,20,20,Pass,,PE20_G03,12
K7,Lib_114,400 bp to 800 bp,6.962,15,18.98,604.0,20,20,Pass,,PE20_F04,12
M7,Lib_115,400 bp to 800 bp,5.486,15,15.082,599.0,20,20,Pass,,PE20_G04,12
O7,Lib_116,400 bp to 800 bp,10.024,15,27.216,606.0,20,20,Pass,,PE20_H04,12
A9,Lib_117,400 bp to 800 bp,7.312,15,19.894,605.0,20,20,Pass,,PE20_A05,12
C9,Lib_118,400 bp to 800 bp,7.832,15,21.382,603.0,20,20,Pass,,PE20_B05,12
E9,Lib_119,400 bp to 800 bp,4.574,15,12.48,603.0,20,20,Pass,,PE20_C05,12
G9,Lib_120,400 bp to 800 bp,2.224,15,6.032,607.0,20,20,Pass,,PE20_D05,12
I9,Lib_121,400 bp to 800 bp,4.188,15,11.566,596.0,20,20,Pass,,PE20_E05,12
K9,Lib_122,400 bp to 800 bp,6.43,15,17.804,594.0,20,20,Pass,,PE20_F05,12
M9,Lib_123,400 bp to 800 bp,1.416,15,3.862,603.0,20,20,Pass,,PE20_G05,12
O9,Lib_124,400 bp to 800 bp,1.316,15,3.532,613.0,20,20,Pass,,PE20_H05,12
K11,Lib_125,400 bp to 800 bp,1.28,15,3.44,612.0,20,20,Pass,,PE20_F06,12
M11,Lib_126,400 bp to 800 bp,0.984,15,2.658,609.0,20,20,Pass,,PE20_G06,12
O11,Lib_127,400 bp to 800 bp,1.914,15,5.238,601.0,20,20,Pass,,PE20_H06,12
A13,Lib_128,400 bp to 800 bp,1.076,15,2.752,644.0,20,20,Pass,,PE20_A07,12
C13,Lib_129,400 bp to 800 bp,4.566,15,12.384,607.0,20,20,Pass,,PE20_B07,12
E13,Lib_130,400 bp to 800 bp,5.872,15,15.986,605.0,20,20,Pass,,PE20_C07,12
G13,Lib_131,400 bp to 800 bp,5.126,15,13.88,608.0,20,20,Pass,,PE20_D07,12
I13,Lib_132,400 bp to 800 bp,5.762,15,15.714,603.0,20,20,Pass,,PE20_E07,12
K13,Lib_133,400 bp to 800 bp,14.788,15,40.334,603.0,20,20,Pass,,PE20_F07,12
M13,Lib_134,400 bp to 800 bp,8.494,15,23.282,600.0,20,20,Pass,,PE20_G07,12
O13,Lib_135,400 bp to 800 bp,1.314,15,3.478,622.0,20,20,Pass,,PE20_H07,12
A15,Lib_136,400 bp to 800 bp,4.126,15,11.208,606.0,20,20,Pass,,PE20_A08,12
C15,Lib_137,400 bp to 800 bp,3.248,15,8.804,607.0,20,20,Pass,,PE20_B08,12
E15,Lib_138,400 bp to 800 bp,3.806,15,10.396,603.0,20,20,Pass,,PE20_C08,12
G15,Lib_139,400 bp to 800 bp,1.826,15,5.002,601.0,20,20,Pass,,PE20_D08,12
I15,Lib_140,400 bp to 800 bp,1.522,15,4.114,609.0,20,20,Pass,,PE20_E08,12
K15,Lib_141,400 bp to 800 bp,1.86,15,5.064,604.0,20,20,Pass,,PE20_F08,12
M15,Lib_142,400 bp to 800 bp,1.622,15,4.45,600.0,20,20,Pass,,PE20_G08,12
O15,Lib_143,400 bp to 800 bp,0.864,15,2.288,621.0,20,20,Pass,,PE20_H08,12
C17,Lib_144,400 bp to 800 bp,0.82,15,2.228,606.0,20,20,Pass,,PE20_B09,12
E17,Lib_145,400 bp to 800 bp,0.848,15,2.28,613.0,20,20,Pass,,PE20_C09,12
G17,Lib_146,400 bp to 800 bp,1.252,15,3.342,617.0,20,20,Pass,,PE20_D09,12
K17,Lib_147,400 bp to 800 bp,6.982,15,19.456,591.0,20,20,Pass,,PE20_F09,12
M17,Lib_148,400 bp to 800 bp,6.384,15,17.462,602.0,20,20,Pass,,PE20_G09,12
O17,Lib_149,400 bp to 800 bp,6.658,15,18.13,604.0,20,20,Pass,,PE20_H09,12
A19,Lib_150,400 bp to 800 bp,5.402,15,14.694,605.0,20,20,Pass,,PE20_A10,12
C19,Lib_151,400 bp to 800 bp,7.342,15,19.968,605.0,20,20,Pass,,PE20_B10,12
E19,Lib_152,400 bp to 800 bp,8.232,15,22.404,605.0,20,20,Pass,,PE20_C10,12
G19,Lib_153,400 bp to 800 bp,8.688,15,23.76,602.0,20,20,Pass,,PE20_D10,12
I19,Lib_154,400 bp to 800 bp,3.976,15,10.896,601.0,20,20,Pass,,PE20_E10,12
K19,Lib_155,400 bp to 800 bp,9.408,15,25.744,601.0,20,20,Pass,,PE20_F10,12
M19,Lib_156,400 bp to 800 bp,4.66,15,12.766,601.0,20,20,Pass,,PE20_G10,12
O19,Lib_157,400 bp to 800 bp,4.47,15,12.188,604.0,20,20,Pass,,PE20_H10,12
A21,Lib_158,400 bp to 800 bp,1.296,15,3.458,616.0,20,20,Pass,,PE20_A11,12
C21,Lib_159,400 bp to 800 bp,1.318,15,3.51,618.0,20,20,Pass,,PE20_B11,12
E21,Lib_160,400 bp to 800 bp,1.948,15,5.212,615.0,20,20,Pass,,PE20_C11,12
G21,Lib_161,400 bp to 800 bp,2.256,15,6.2,599.0,20,20,Pass,,PE20_D11,12
I21,Lib_162,400 bp to 800 bp,1.654,15,4.424,615.0,20,20,Pass,,PE20_E11,12
A23,Lib_163,400 bp to 800 bp,36.884,15,85.382,711.0,20,20,Pass,,PE20_A12,12
