Illumina Library,Note,Library Creation Attempt,Nucleic Acid ID,Library Plate Container Barcode,Container Type,Well,Library Plate Label,Index Name,Final Aliquot Mass (ng),Library Concentration (ng/ul),Library Template Size (bp),Library Molarity QC (pM),Library Volume (ul),Number PCR Cycles,Library QC Result,Failure Mode,Complete
Lib_100,,,NA00656212,27-000002,Plate,A1,XUPVQ-3,,250,,,,,,,,FALSE
Lib_101,,,NA00656213,27-000002,Plate,O1,XUPVQ-3,,250,,,,,,,,FALSE
Lib_102,,,NA00656214,27-000002,Plate,C3,XUPVQ-3,,250,,,,,,,,FALSE
Lib_103,,,NA00656215,27-000002,Plate,E3,XUPVQ-3,,250,,,,,,,,FALSE
Lib_104,,,NA00656216,27-000002,Plate,G3,XUPVQ-3,,250,,,,,,,,FALSE
Lib_105,,,NA00656217,27-000002,Plate,I3,XUPVQ-3,,250,,,,,,,,FALSE
Lib_106,,,NA00656218,27-000002,Plate,K3,XUPVQ-3,,250,,,,,,,,FALSE
Lib_107,,,NA00656219,27-000002,Plate,M3,XUPVQ-3,,250,,,,,,,,FALSE
Lib_108,,,NA00656220,27-000002,Plate,O3,XUPVQ-3,,250,,,,,,,,FALSE
Lib_109,,,NA00656221,27-000002,Plate,A5,XUPVQ-3,,250,,,,,,,,FALSE
Lib_110,,,NA00656222,27-000002,Plate,C5,XUPVQ-3,,250,,,,,,,,FALSE
Lib_111,,,NA00656223,27-000002,Plate,G5,XUPVQ-3,,250,,,,,,,,FALSE
Lib_112,,,NA00656224,27-000002,Plate,K5,XUPVQ-3,,250,,,,,,,,FALSE
Lib_113,,,NA00656225,27-000002,Plate,M5,XUPVQ-3,,250,,,,,,,,FALSE
Lib_114,,,NA00656226,27-000002,Plate,K7,XUPVQ-3,,250,,,,,,,,FALSE
Lib_115,,,NA00656227,27-000002,Plate,M7,XUPVQ-3,,250,,,,,,,,FALSE
Lib_116,,,NA00656228,27-000002,Plate,O7,XUPVQ-3,,250,,,,,,,,FALSE
Lib_117,,,NA00656229,27-000002,Plate,A9,XUPVQ-3,,250,,,,,,,,FALSE
Lib_118,,,NA00656230,27-000002,Plate,C9,XUPVQ-3,,250,,,,,,,,FALSE
