Plate_ID,Well,Sample,Type,number_of_cells/capsules,Group_1,Group_2,Group_3,Index_Set,Index_Well,Index_Name,Plate_Barcode,FA_Well
BP9735_SitukAM.1,A1,SitukAM,sample,1.0,Bright,,,PE18,A1,PE18_A01,XUPVQ-1,A1
BP9735_SitukAM.1,B1,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,C1,SitukAM,sample,1.0,Bright,,,PE18,B1,PE18_B01,XUPVQ-1,B1
BP9735_SitukAM.1,D1,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,E1,SitukAM,sample,1.0,Bright,,,PE18,C1,PE18_C01,XUPVQ-1,C1
BP9735_SitukAM.1,F1,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,G1,SitukAM,sample,1.0,Bright,,,PE18,D1,PE18_D01,XUPVQ-1,D1
BP9735_SitukAM.1,H1,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,I1,SitukAM,sample,1.0,Bright,,,PE18,E1,PE18_E01,XUPVQ-1,E1
BP9735_SitukAM.1,J1,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,K1,SitukAM,sample,1.0,Bright,,,PE18,F1,PE18_F01,XUPVQ-1,F1
BP9735_SitukAM.1,L1,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,M1,SitukAM,sample,1.0,Bright,,,PE18,G1,PE18_G01,XUPVQ-1,G1
BP9735_SitukAM.1,N1,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,O1,SitukAM,sample,1.0,Bright,,,PE18,H1,PE18_H01,XUPVQ-1,H1
BP9735_SitukAM.1,P1,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,A2,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,B2,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,C2,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,D2,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,E2,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,F2,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,G2,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,H2,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,I2,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,J2,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,K2,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,L2,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,M2,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,N2,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,O2,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,P2,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,A3,SitukAM,sample,1.0,Bright,,,PE18,A2,PE18_A02,XUPVQ-1,A2
BP9735_SitukAM.1,B3,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,C3,SitukAM,sample,1.0,Bright,,,PE18,B2,PE18_B02,XUPVQ-1,B2
BP9735_SitukAM.1,D3,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,E3,SitukAM,sample,1.0,Bright,,,PE18,C2,PE18_C02,XUPVQ-1,C2
BP9735_SitukAM.1,F3,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,G3,SitukAM,sample,1.0,Bright,,,PE18,D2,PE18_D02,XUPVQ-1,D2
BP9735_SitukAM.1,H3,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,I3,SitukAM,sample,1.0,Bright,,,PE18,E2,PE18_E02,XUPVQ-1,E2
BP9735_SitukAM.1,J3,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,K3,SitukAM,sample,1.0,Bright,,,PE18,F2,PE18_F02,XUPVQ-1,F2
BP9735_SitukAM.1,L3,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,M3,SitukAM,sample,1.0,Bright,,,PE18,G2,PE18_G02,XUPVQ-1,G2
BP9735_SitukAM.1,N3,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,O3,SitukAM,sample,1.0,Bright,,,PE18,H2,PE18_H02,XUPVQ-1,H2
BP9735_SitukAM.1,P3,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,A4,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,B4,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,C4,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,D4,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,E4,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,F4,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,G4,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,H4,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,I4,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,J4,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,K4,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,L4,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,M4,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,N4,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,O4,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,P4,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,A5,SitukAM,sample,1.0,Bright,,,PE18,A3,PE18_A03,XUPVQ-1,A3
BP9735_SitukAM.1,B5,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,C5,SitukAM,sample,1.0,Bright,,,PE18,B3,PE18_B03,XUPVQ-1,B3
BP9735_SitukAM.1,D5,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,E5,SitukAM,sample,1.0,Bright,,,PE18,C3,PE18_C03,XUPVQ-1,C3
BP9735_SitukAM.1,F5,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,G5,SitukAM,sample,1.0,Bright,,,PE18,D3,PE18_D03,XUPVQ-1,D3
BP9735_SitukAM.1,H5,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,I5,SitukAM,sample,1.0,Bright,,,PE18,E3,PE18_E03,XUPVQ-1,E3
BP9735_SitukAM.1,J5,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,K5,SitukAM,sample,1.0,Bright,,,PE18,F3,PE18_F03,XUPVQ-1,F3
BP9735_SitukAM.1,L5,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,M5,SitukAM,sample,1.0,Bright,,,PE18,G3,PE18_G03,XUPVQ-1,G3
BP9735_SitukAM.1,N5,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,O5,SitukAM,sample,1.0,Bright,,,PE18,H3,PE18_H03,XUPVQ-1,H3
BP9735_SitukAM.1,P5,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,A6,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,B6,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,C6,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,D6,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,E6,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,F6,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,G6,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,H6,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,I6,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,J6,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,K6,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,L6,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,M6,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,N6,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,O6,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,P6,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,A7,SitukAM,sample,1.0,Bright,,,PE18,A4,PE18_A04,XUPVQ-1,A4
BP9735_SitukAM.1,B7,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,C7,SitukAM,sample,1.0,Bright,,,PE18,B4,PE18_B04,XUPVQ-1,B4
BP9735_SitukAM.1,D7,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,E7,SitukAM,sample,1.0,Bright,,,PE18,C4,PE18_C04,XUPVQ-1,C4
BP9735_SitukAM.1,F7,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,G7,SitukAM,sample,1.0,Bright,,,PE18,D4,PE18_D04,XUPVQ-1,D4
BP9735_SitukAM.1,H7,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,I7,SitukAM,sample,1.0,Bright,,,PE18,E4,PE18_E04,XUPVQ-1,E4
BP9735_SitukAM.1,J7,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,K7,SitukAM,sample,1.0,Bright,,,PE18,F4,PE18_F04,XUPVQ-1,F4
BP9735_SitukAM.1,L7,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,M7,SitukAM,sample,1.0,Bright,,,PE18,G4,PE18_G04,XUPVQ-1,G4
BP9735_SitukAM.1,N7,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,O7,SitukAM,sample,1.0,Bright,,,PE18,H4,PE18_H04,XUPVQ-1,H4
BP9735_SitukAM.1,P7,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,A8,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,B8,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,C8,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,D8,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,E8,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,F8,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,G8,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,H8,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,I8,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,J8,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,K8,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,L8,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,M8,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,N8,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,O8,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,P8,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,A9,SitukAM,sample,1.0,Bright,,,PE18,A5,PE18_A05,XUPVQ-1,A5
BP9735_SitukAM.1,B9,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,C9,SitukAM,sample,1.0,Bright,,,PE18,B5,PE18_B05,XUPVQ-1,B5
BP9735_SitukAM.1,D9,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,E9,SitukAM,sample,1.0,Bright,,,PE18,C5,PE18_C05,XUPVQ-1,C5
BP9735_SitukAM.1,F9,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,G9,SitukAM,sample,1.0,Bright,,,PE18,D5,PE18_D05,XUPVQ-1,D5
BP9735_SitukAM.1,H9,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,I9,SitukAM,sample,1.0,Bright,,,PE18,E5,PE18_E05,XUPVQ-1,E5
BP9735_SitukAM.1,J9,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,K9,SitukAM,sample,1.0,Bright,,,PE18,F5,PE18_F05,XUPVQ-1,F5
BP9735_SitukAM.1,L9,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,M9,SitukAM,sample,1.0,Bright,,,PE18,G5,PE18_G05,XUPVQ-1,G5
BP9735_SitukAM.1,N9,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,O9,SitukAM,sample,1.0,Bright,,,PE18,H5,PE18_H05,XUPVQ-1,H5
BP9735_SitukAM.1,P9,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,A10,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,B10,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,C10,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,D10,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,E10,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,F10,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,G10,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,H10,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,I10,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,J10,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,K10,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,L10,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,M10,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,N10,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,O10,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,P10,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,A11,SitukAM,sample,1.0,Bright,,,PE18,A6,PE18_A06,XUPVQ-1,A6
BP9735_SitukAM.1,B11,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,C11,SitukAM,sample,1.0,Bright,,,PE18,B6,PE18_B06,XUPVQ-1,B6
BP9735_SitukAM.1,D11,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,E11,SitukAM,sample,1.0,Bright,,,PE18,C6,PE18_C06,XUPVQ-1,C6
BP9735_SitukAM.1,F11,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,G11,SitukAM,sample,1.0,Bright,,,PE18,D6,PE18_D06,XUPVQ-1,D6
BP9735_SitukAM.1,H11,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,I11,SitukAM,sample,1.0,Bright,,,PE18,E6,PE18_E06,XUPVQ-1,E6
BP9735_SitukAM.1,J11,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,K11,SitukAM,sample,1.0,Bright,,,PE18,F6,PE18_F06,XUPVQ-1,F6
BP9735_SitukAM.1,L11,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,M11,SitukAM,sample,1.0,Bright,,,PE18,G6,PE18_G06,XUPVQ-1,G6
BP9735_SitukAM.1,N11,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,O11,SitukAM,sample,1.0,Bright,,,PE18,H6,PE18_H06,XUPVQ-1,H6
BP9735_SitukAM.1,P11,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,A12,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,B12,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,C12,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,D12,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,E12,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,F12,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,G12,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,H12,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,I12,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,J12,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,K12,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,L12,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,M12,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,N12,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,O12,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,P12,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,A13,SitukAM,sample,1.0,Bright,,,PE18,A7,PE18_A07,XUPVQ-1,A7
BP9735_SitukAM.1,B13,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,C13,SitukAM,sample,1.0,Bright,,,PE18,B7,PE18_B07,XUPVQ-1,B7
BP9735_SitukAM.1,D13,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,E13,SitukAM,sample,1.0,Bright,,,PE18,C7,PE18_C07,XUPVQ-1,C7
BP9735_SitukAM.1,F13,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,G13,SitukAM,sample,1.0,Bright,,,PE18,D7,PE18_D07,XUPVQ-1,D7
BP9735_SitukAM.1,H13,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,I13,SitukAM,sample,1.0,Bright,,,PE18,E7,PE18_E07,XUPVQ-1,E7
BP9735_SitukAM.1,J13,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,K13,SitukAM,sample,1.0,Bright,,,PE18,F7,PE18_F07,XUPVQ-1,F7
BP9735_SitukAM.1,L13,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,M13,SitukAM,sample,1.0,Bright,,,PE18,G7,PE18_G07,XUPVQ-1,G7
BP9735_SitukAM.1,N13,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,O13,SitukAM,sample,1.0,Bright,,,PE18,H7,PE18_H07,XUPVQ-1,H7
BP9735_SitukAM.1,P13,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,A14,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,B14,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,C14,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,D14,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,E14,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,F14,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,G14,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,H14,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,I14,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,J14,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,K14,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,L14,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,M14,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,N14,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,O14,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,P14,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,A15,SitukAM,sample,1.0,Bright,,,PE18,A8,PE18_A08,XUPVQ-1,A8
BP9735_SitukAM.1,B15,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,C15,SitukAM,sample,1.0,Bright,,,PE18,B8,PE18_B08,XUPVQ-1,B8
BP9735_SitukAM.1,D15,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,E15,SitukAM,sample,1.0,Bright,,,PE18,C8,PE18_C08,XUPVQ-1,C8
BP9735_SitukAM.1,F15,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,G15,SitukAM,sample,1.0,Bright,,,PE18,D8,PE18_D08,XUPVQ-1,D8
BP9735_SitukAM.1,H15,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,I15,SitukAM,sample,1.0,Bright,,,PE18,E8,PE18_E08,XUPVQ-1,E8
BP9735_SitukAM.1,J15,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,K15,SitukAM,sample,1.0,Bright,,,PE18,F8,PE18_F08,XUPVQ-1,F8
BP9735_SitukAM.1,L15,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,M15,SitukAM,sample,1.0,Bright,,,PE18,G8,PE18_G08,XUPVQ-1,G8
BP9735_SitukAM.1,N15,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,O15,SitukAM,sample,1.0,Bright,,,PE18,H8,PE18_H08,XUPVQ-1,H8
BP9735_SitukAM.1,P15,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,A16,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,B16,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,C16,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,D16,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,E16,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,F16,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,G16,,unused,,,,,,,,XUPVQ-1,
