Library_Plate_Barcode,Dilution_Plate_Barcode,FA_Plate_Barcode,Library_Well,FA_Well,Nextera_Vol_Add,Dilution_Vol,FA_Vol_Add,Dilution_Plate_Preload,Total_buffer_aspiration
hXUPVQ-6,XUPVQ-6D,XUPVQ-6F,A1,A1,30,2.4,2.4,10,40
hXUPVQ-6,XUPVQ-6D,XUPVQ-6F,C1,B1,30,2.4,2.4,10,40
hXUPVQ-6,XUPVQ-6D,XUPVQ-6F,E1,C1,30,2.4,2.4,10,40
hXUPVQ-6,XUPVQ-6D,XUPVQ-6F,G1,D1,30,2.4,2.4,10,40
hXUPVQ-6,XUPVQ-6D,XUPVQ-6F,I1,E1,30,2.4,2.4,10,40
hXUPVQ-6,XUPVQ-6D,XUPVQ-6F,K1,F1,30,2.4,2.4,10,40
hXUPVQ-6,XUPVQ-6D,XUPVQ-6F,M1,G1,30,2.4,2.4,10,40
hXUPVQ-6,XUPVQ-6D,XUPVQ-6F,O1,H1,30,2.4,2.4,10,40
hXUPVQ-6,XUPVQ-6D,XUPVQ-6F,B1,A2,30,2.4,2.4,10,40
hXUPVQ-6,XUPVQ-6D,XUPVQ-6F,D1,B2,30,2.4,2.4,10,40
hXUPVQ-6,XUPVQ-6D,XUPVQ-6F,F1,C2,30,2.4,2.4,10,40
hXUPVQ-6,XUPVQ-6D,XUPVQ-6F,H1,D2,30,2.4,2.4,10,40
hXUPVQ-6,XUPVQ-6D,XUPVQ-6F,J1,E2,30,2.4,2.4,10,40
hXUPVQ-6,XUPVQ-6D,XUPVQ-6F,L1,F2,30,2.4,2.4,10,40
hXUPVQ-6,XUPVQ-6D,XUPVQ-6F,N1,G2,30,2.4,2.4,10,40
hXUPVQ-6,XUPVQ-6D,XUPVQ-6F,P1,H2,30,2.4,2.4,10,40
hXUPVQ-6,XUPVQ-6D,XUPVQ-6F,A2,A3,30,2.4,2.4,10,40
hXUPVQ-6,XUPVQ-6D,XUPVQ-6F,C2,B3,30,2.4,2.4,10,40
hXUPVQ-6,XUPVQ-6D,XUPVQ-6F,E2,C3,30,2.4,2.4,10,40
hXUPVQ-6,XUPVQ-6D,XUPVQ-6F,G2,D3,30,2.4,2.4,10,40
hXUPVQ-6,XUPVQ-6D,XUPVQ-6F,I2,E3,30,2.4,2.4,10,40
hXUPVQ-6,XUPVQ-6D,XUPVQ-6F,K2,F3,30,2.4,2.4,10,40
hXUPVQ-6,XUPVQ-6D,XUPVQ-6F,M2,G3,30,2.4,2.4,10,40
hXUPVQ-6,XUPVQ-6D,XUPVQ-6F,O2,H3,30,2.4,2.4,10,40
hXUPVQ-6,XUPVQ-6D,XUPVQ-6F,B2,A4,30,2.4,2.4,10,40
hXUPVQ-6,XUPVQ-6D,XUPVQ-6F,D2,B4,30,2.4,2.4,10,40
hXUPVQ-6,XUPVQ-6D,XUPVQ-6F,F2,C4,30,2.4,2.4,10,40
hXUPVQ-6,XUPVQ-6D,XUPVQ-6F,H2,D4,30,2.4,2.4,10,40
hXUPVQ-6,XUPVQ-6D,XUPVQ-6F,J2,E4,30,2.4,2.4,10,40
hXUPVQ-6,XUPVQ-6D,XUPVQ-6F,L2,F4,30,2.4,2.4,10,40
hXUPVQ-6,XUPVQ-6D,XUPVQ-6F,N2,G4,30,2.4,2.4,10,40
hXUPVQ-6,XUPVQ-6D,XUPVQ-6F,P2,H4,30,2.4,2.4,10,40
hXUPVQ-6,XUPVQ-6D,XUPVQ-6F,A3,A5,30,2.4,2.4,10,40
hXUPVQ-6,XUPVQ-6D,XUPVQ-6F,C3,B5,30,2.4,2.4,10,40
hXUPVQ-6,XUPVQ-6D,XUPVQ-6F,E3,C5,30,2.4,2.4,10,40
hXUPVQ-6,XUPVQ-6D,XUPVQ-6F,G3,D5,30,2.4,2.4,10,40
hXUPVQ-6,XUPVQ-6D,XUPVQ-6F,I3,E5,30,2.4,2.4,10,40
hXUPVQ-6,XUPVQ-6D,XUPVQ-6F,K3,F5,30,2.4,2.4,10,40
hXUPVQ-6,XUPVQ-6D,XUPVQ-6F,M3,G5,30,2.4,2.4,10,40
hXUPVQ-6,XUPVQ-6D,XUPVQ-6F,O3,H5,30,2.4,2.4,10,40
hXUPVQ-6,XUPVQ-6D,XUPVQ-6F,B3,A6,30,2.4,2.4,10,40
hXUPVQ-6,XUPVQ-6D,XUPVQ-6F,D3,B6,30,2.4,2.4,10,40
hXUPVQ-6,XUPVQ-6D,XUPVQ-6F,F3,C6,30,2.4,2.4,10,40
