Illumina_index_set,Illumina_source_well,Lib_plate_name,Lib_plate_ID,Lib_plate_well,Primer_volume_(uL)
PE19,A1,BP9735_SitukAM.2,hXUPVQ-2,A1,2
PE19,B1,BP9735_SitukAM.2,hXUPVQ-2,C1,2
PE19,C1,BP9735_SitukAM.2,hXUPVQ-2,E1,2
PE19,D1,BP9735_SitukAM.2,hXUPVQ-2,G1,2
PE19,E1,BP9735_SitukAM.2,hXUPVQ-2,I1,2
PE19,F1,BP9735_SitukAM.2,hXUPVQ-2,K1,2
PE19,G1,BP9735_SitukAM.2,hXUPVQ-2,M1,2
PE19,H1,BP9735_SitukAM.2,hXUPVQ-2,O1,2
PE19,A2,BP9735_SitukAM.2,hXUPVQ-2,A3,2
PE19,B2,BP9735_SitukAM.2,hXUPVQ-2,C3,2
PE19,C2,BP9735_SitukAM.2,hXUPVQ-2,E3,2
PE19,D2,BP9735_SitukAM.2,hXUPVQ-2,G3,2
PE19,E2,BP9735_SitukAM.2,hXUPVQ-2,I3,2
PE19,F2,BP9735_SitukAM.2,hXUPVQ-2,K3,2
PE19,G2,BP9735_SitukAM.2,hXUPVQ-2,M3,2
PE19,H2,BP9735_SitukAM.2,hXUPVQ-2,O3,2
PE19,A3,BP9735_SitukAM.2,hXUPVQ-2,A5,2
PE19,B3,BP9735_SitukAM.2,hXUPVQ-2,C5,2
PE19,C3,BP9735_SitukAM.2,hXUPVQ-2,E5,2
PE19,D3,BP9735_SitukAM.2,hXUPVQ-2,G5,2
PE19,E3,BP9735_SitukAM.2,hXUPVQ-2,I5,2
PE19,F3,BP9735_SitukAM.2,hXUPVQ-2,K5,2
PE19,G3,BP9735_SitukAM.2,hXUPVQ-2,M5,2
PE19,H3,BP9735_SitukAM.2,hXUPVQ-2,O5,2
PE19,A4,BP9735_SitukAM.2,hXUPVQ-2,A7,2
PE19,B4,BP9735_SitukAM.2,hXUPVQ-2,C7,2
PE19,C4,BP9735_SitukAM.2,hXUPVQ-2,E7,2
PE19,D4,BP9735_SitukAM.2,hXUPVQ-2,G7,2
PE19,E4,BP9735_SitukAM.2,hXUPVQ-2,I7,2
PE19,F4,BP9735_SitukAM.2,hXUPVQ-2,K7,2
PE19,G4,BP9735_SitukAM.2,hXUPVQ-2,M7,2
PE19,H4,BP9735_SitukAM.2,hXUPVQ-2,O7,2
PE19,A5,BP9735_SitukAM.2,hXUPVQ-2,A9,2
PE19,B5,BP9735_SitukAM.2,hXUPVQ-2,C9,2
PE19,C5,BP9735_SitukAM.2,hXUPVQ-2,E9,2
PE19,D5,BP9735_SitukAM.2,hXUPVQ-2,G9,2
PE19,E5,BP9735_SitukAM.2,hXUPVQ-2,I9,2
PE19,F5,BP9735_SitukAM.2,hXUPVQ-2,K9,2
PE19,G5,BP9735_SitukAM.2,hXUPVQ-2,M9,2
PE19,H5,BP9735_SitukAM.2,hXUPVQ-2,O9,2
PE19,A6,BP9735_SitukAM.2,hXUPVQ-2,A11,2
PE19,B6,BP9735_SitukAM.2,hXUPVQ-2,C11,2
PE19,C6,BP9735_SitukAM.2,hXUPVQ-2,E11,2
PE19,D6,BP9735_SitukAM.2,hXUPVQ-2,G11,2
PE19,E6,BP9735_SitukAM.2,hXUPVQ-2,I11,2
PE19,F6,BP9735_SitukAM.2,hXUPVQ-2,K11,2
PE19,G6,BP9735_SitukAM.2,hXUPVQ-2,M11,2
PE19,H6,BP9735_SitukAM.2,hXUPVQ-2,O11,2
PE19,A7,BP9735_SitukAM.2,hXUPVQ-2,A13,2
PE19,B7,BP9735_SitukAM.2,hXUPVQ-2,C13,2
PE19,C7,BP9735_SitukAM.2,hXUPVQ-2,E13,2
PE19,D7,BP9735_SitukAM.2,hXUPVQ-2,G13,2
PE19,E7,BP9735_SitukAM.2,hXUPVQ-2,I13,2
PE19,F7,BP9735_SitukAM.2,hXUPVQ-2,K13,2
PE19,G7,BP9735_SitukAM.2,hXUPVQ-2,M13,2
