Plate_ID,Well_Row,Well_Col,Well,Sample,Type,number_of_cells/capsules,Group_1,Group_2,Group_3
BP9735_FULL.1,A,1,A1,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,B,1,B1,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,C,1,C1,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,D,1,D1,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,E,1,E1,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,F,1,F1,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,G,1,G1,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,H,1,H1,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,I,1,I1,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,J,1,J1,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,K,1,K1,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,L,1,L1,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,M,1,M1,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,N,1,N1,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,O,1,O1,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,P,1,P1,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,A,2,A2,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,B,2,B2,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,C,2,C2,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,D,2,D2,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,E,2,E2,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,F,2,F2,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,G,2,G2,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,H,2,H2,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,I,2,I2,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,J,2,J2,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,K,2,K2,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,L,2,L2,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,M,2,M2,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,N,2,N2,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,O,2,O2,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,P,2,P2,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,A,3,A3,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,B,3,B3,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,C,3,C3,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,D,3,D3,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,E,3,E3,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,F,3,F3,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,G,3,G3,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,H,3,H3,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,I,3,I3,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,J,3,J3,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,K,3,K3,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,L,3,L3,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,M,3,M3,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,N,3,N3,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,O,3,O3,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,P,3,P3,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,A,4,A4,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,B,4,B4,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,C,4,C4,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,D,4,D4,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,E,4,E4,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,F,4,F4,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,G,4,G4,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,H,4,H4,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,I,4,I4,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,J,4,J4,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,K,4,K4,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,L,4,L4,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,M,4,M4,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,N,4,N4,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,O,4,O4,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,P,4,P4,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,A,5,A5,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,B,5,B5,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,C,5,C5,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,D,5,D5,FULL,sample,1,BRIGHT,,
