Well,Sample ID,Range,ng/uL,% Total,nmole/L,Avg. Size,%CV,Size Threshold (b.p.),DQN
A1,XUPVQ-2_BP9735_SitukAM.2_A1,100 bp to 4000 bp,4.0934,47.2,9.3352,722,64.14,300,8.5
B1,XUPVQ-2_BP9735_SitukAM.2_C1,400 bp to 800 bp,0.2228,25.2,0.5944,617,17.26,300,9.2
C1,XUPVQ-2_BP9735_SitukAM.2_E1,400 bp to 800 bp,0.1506,22.3,0.4097,605,17.84,300,8.9
D1,XUPVQ-2_BP9735_SitukAM.2_G1,400 bp to 800 bp,0.1754,22.5,0.4668,618,16.89,300,9.4
E1,XUPVQ-2_BP9735_SitukAM.2_I1,400 bp to 800 bp,0.1232,21.4,0.323,628,16.2,300,9.2
F1,XUPVQ-2_BP9735_SitukAM.2_K1,400 bp to 800 bp,0.355,20.9,0.9693,603,18.31,300,9.4
G1,XUPVQ-2_BP9735_SitukAM.2_M1,400 bp to 800 bp,0.2059,20,0.5507,615,17.79,300,9.4
H1,XUPVQ-2_BP9735_SitukAM.2_O1,100 bp to 4000 bp,4.3031,48.5,9.7238,728,63.51,300,8.6
A2,XUPVQ-2_BP9735_SitukAM.2_A3,400 bp to 800 bp,0.1212,19.1,0.3319,601,17.23,300,8.4
B2,XUPVQ-2_BP9735_SitukAM.2_C3,400 bp to 800 bp,0.0734,14.1,0.1922,628,15.11,300,8.7
C2,XUPVQ-2_BP9735_SitukAM.2_E3,400 bp to 800 bp,0.0111,5.1,0.0284,643,13.91,300,5.6
D2,XUPVQ-2_BP9735_SitukAM.2_G3,400 bp to 800 bp,0.0317,4.8,0.0823,634,14.9,300,6.9
E2,XUPVQ-2_BP9735_SitukAM.2_I3,400 bp to 800 bp,0.0512,13.5,0.136,620,14.02,300,8.1
F2,XUPVQ-2_BP9735_SitukAM.2_K3,400 bp to 800 bp,0.0557,9.2,0.1471,623,16.1,300,8.2
G2,XUPVQ-2_BP9735_SitukAM.2_M3,400 bp to 800 bp,0.0106,2.3,0.0275,631,12.77,300,6.3
H2,XUPVQ-2_BP9735_SitukAM.2_O3,400 bp to 800 bp,0.0181,3.5,0.0462,645,14.86,300,6.4
A3,XUPVQ-2_BP9735_SitukAM.2_A5,400 bp to 800 bp,0.0399,7.1,0.1084,606,14.8,300,6.5
B3,XUPVQ-2_BP9735_SitukAM.2_C5,400 bp to 800 bp,0.0112,3.3,0.0283,653,13.42,300,6.8
C3,XUPVQ-2_BP9735_SitukAM.2_E5,400 bp to 800 bp,0.031,8.2,0.0803,635,13.65,300,7.6
D3,XUPVQ-2_BP9735_SitukAM.2_G5,400 bp to 800 bp,0.1165,12.2,0.3098,619,16.43,300,8.4
E3,XUPVQ-2_BP9735_SitukAM.2_I5,400 bp to 800 bp,0.0411,12.6,0.106,638,14.4,300,8
F3,XUPVQ-2_BP9735_SitukAM.2_K5,400 bp to 800 bp,0.4913,24.2,1.3298,608,18.23,300,9.3
G3,XUPVQ-2_BP9735_SitukAM.2_M5,400 bp to 800 bp,0.09,14.8,0.233,636,15.56,300,9.3
H3,XUPVQ-2_BP9735_SitukAM.2_O5,400 bp to 800 bp,0.2104,23.6,0.5673,610,18.2,300,9.3
A4,XUPVQ-2_BP9735_SitukAM.2_A7,400 bp to 800 bp,0.2176,22.9,0.5903,607,17.9,300,9.3
