Illumina_index_set,Illumina_source_well,Lib_plate_name,Lib_plate_ID,Lib_plate_well,Primer_volume_(uL)
PE17,A1,BP9735_FULL.1,hXUPVQ-6,A1,2
PE17,B1,BP9735_FULL.1,hXUPVQ-6,C1,2
PE17,C1,BP9735_FULL.1,hXUPVQ-6,E1,2
PE17,D1,BP9735_FULL.1,hXUPVQ-6,G1,2
PE17,E1,BP9735_FULL.1,hXUPVQ-6,I1,2
PE17,F1,BP9735_FULL.1,hXUPVQ-6,K1,2
PE17,G1,BP9735_FULL.1,hXUPVQ-6,M1,2
PE17,H1,BP9735_FULL.1,hXUPVQ-6,O1,2
PE17,A2,BP9735_FULL.1,hXUPVQ-6,A3,2
PE17,B2,BP9735_FULL.1,hXUPVQ-6,C3,2
PE17,C2,BP9735_FULL.1,hXUPVQ-6,E3,2
PE17,D2,BP9735_FULL.1,hXUPVQ-6,G3,2
PE17,E2,BP9735_FULL.1,hXUPVQ-6,I3,2
PE17,F2,BP9735_FULL.1,hXUPVQ-6,K3,2
PE17,G2,BP9735_FULL.1,hXUPVQ-6,M3,2
PE17,H2,BP9735_FULL.1,hXUPVQ-6,O3,2
PE17,A3,BP9735_FULL.1,hXUPVQ-6,A5,2
PE17,B3,BP9735_FULL.1,hXUPVQ-6,C5,2
PE17,C3,BP9735_FULL.1,hXUPVQ-6,E5,2
PE17,D3,BP9735_FULL.1,hXUPVQ-6,G5,2
PE17,E3,BP9735_FULL.1,hXUPVQ-6,I5,2
PE17,F3,BP9735_FULL.1,hXUPVQ-6,K5,2
PE17,G3,BP9735_FULL.1,hXUPVQ-6,M5,2
PE17,H3,BP9735_FULL.1,hXUPVQ-6,O5,2
PE17,A4,BP9735_FULL.1,hXUPVQ-6,A7,2
PE17,B4,BP9735_FULL.1,hXUPVQ-6,C7,2
PE17,C4,BP9735_FULL.1,hXUPVQ-6,E7,2
PE17,D4,BP9735_FULL.1,hXUPVQ-6,G7,2
PE17,E4,BP9735_FULL.1,hXUPVQ-6,I7,2
PE17,F4,BP9735_FULL.1,hXUPVQ-6,K7,2
PE17,G4,BP9735_FULL.1,hXUPVQ-6,M7,2
PE17,H4,BP9735_FULL.1,hXUPVQ-6,O7,2
PE17,A5,BP9735_FULL.1,hXUPVQ-6,A9,2
PE17,B5,BP9735_FULL.1,hXUPVQ-6,C9,2
PE17,C5,BP9735_FULL.1,hXUPVQ-6,E9,2
PE17,D5,BP9735_FULL.1,hXUPVQ-6,G9,2
PE17,E5,BP9735_FULL.1,hXUPVQ-6,I9,2
PE17,F5,BP9735_FULL.1,hXUPVQ-6,K9,2
PE17,G5,BP9735_FULL.1,hXUPVQ-6,M9,2
PE17,H5,BP9735_FULL.1,hXUPVQ-6,O9,2
PE17,A6,BP9735_FULL.1,hXUPVQ-6,A11,2
PE17,B6,BP9735_FULL.1,hXUPVQ-6,C11,2
PE17,C6,BP9735_FULL.1,hXUPVQ-6,E11,2
PE17,D6,BP9735_FULL.1,hXUPVQ-6,G11,2
PE17,E6,BP9735_FULL.1,hXUPVQ-6,I11,2
PE17,F6,BP9735_FULL.1,hXUPVQ-6,K11,2
PE17,G6,BP9735_FULL.1,hXUPVQ-6,M11,2
PE17,H6,BP9735_FULL.1,hXUPVQ-6,O11,2
PE17,A7,BP9735_FULL.1,hXUPVQ-6,A13,2
PE17,B7,BP9735_FULL.1,hXUPVQ-6,C13,2
PE17,C7,BP9735_FULL.1,hXUPVQ-6,E13,2
