Illumina_index_set,Illumina_source_well,Lib_plate_name,Lib_plate_ID,Lib_plate_well,Primer_volume_(uL)
PE18,A1,BP9735_SitukAM.1,hXUPVQ-1,A1,2
PE18,B1,BP9735_SitukAM.1,hXUPVQ-1,C1,2
PE18,C1,BP9735_SitukAM.1,hXUPVQ-1,E1,2
PE18,D1,BP9735_SitukAM.1,hXUPVQ-1,G1,2
PE18,E1,BP9735_SitukAM.1,hXUPVQ-1,I1,2
PE18,F1,BP9735_SitukAM.1,hXUPVQ-1,K1,2
PE18,G1,BP9735_SitukAM.1,hXUPVQ-1,M1,2
PE18,H1,BP9735_SitukAM.1,hXUPVQ-1,O1,2
PE18,A2,BP9735_SitukAM.1,hXUPVQ-1,A3,2
PE18,B2,BP9735_SitukAM.1,hXUPVQ-1,C3,2
PE18,C2,BP9735_SitukAM.1,hXUPVQ-1,E3,2
PE18,D2,BP9735_SitukAM.1,hXUPVQ-1,G3,2
PE18,E2,BP9735_SitukAM.1,hXUPVQ-1,I3,2
PE18,F2,BP9735_SitukAM.1,hXUPVQ-1,K3,2
PE18,G2,BP9735_SitukAM.1,hXUPVQ-1,M3,2
PE18,H2,BP9735_SitukAM.1,hXUPVQ-1,O3,2
PE18,A3,BP9735_SitukAM.1,hXUPVQ-1,A5,2
PE18,B3,BP9735_SitukAM.1,hXUPVQ-1,C5,2
PE18,C3,BP9735_SitukAM.1,hXUPVQ-1,E5,2
PE18,D3,BP9735_SitukAM.1,hXUPVQ-1,G5,2
PE18,E3,BP9735_SitukAM.1,hXUPVQ-1,I5,2
PE18,F3,BP9735_SitukAM.1,hXUPVQ-1,K5,2
PE18,G3,BP9735_SitukAM.1,hXUPVQ-1,M5,2
PE18,H3,BP9735_SitukAM.1,hXUPVQ-1,O5,2
PE18,A4,BP9735_SitukAM.1,hXUPVQ-1,A7,2
PE18,B4,BP9735_SitukAM.1,hXUPVQ-1,C7,2
PE18,C4,BP9735_SitukAM.1,hXUPVQ-1,E7,2
PE18,D4,BP9735_SitukAM.1,hXUPVQ-1,G7,2
PE18,E4,BP9735_SitukAM.1,hXUPVQ-1,I7,2
PE18,F4,BP9735_SitukAM.1,hXUPVQ-1,K7,2
PE18,G4,BP9735_SitukAM.1,hXUPVQ-1,M7,2
PE18,H4,BP9735_SitukAM.1,hXUPVQ-1,O7,2
PE18,A5,BP9735_SitukAM.1,hXUPVQ-1,A9,2
PE18,B5,BP9735_SitukAM.1,hXUPVQ-1,C9,2
PE18,C5,BP9735_SitukAM.1,hXUPVQ-1,E9,2
PE18,D5,BP9735_SitukAM.1,hXUPVQ-1,G9,2
PE18,E5,BP9735_SitukAM.1,hXUPVQ-1,I9,2
PE18,F5,BP9735_SitukAM.1,hXUPVQ-1,K9,2
PE18,G5,BP9735_SitukAM.1,hXUPVQ-1,M9,2
PE18,H5,BP9735_SitukAM.1,hXUPVQ-1,O9,2
PE18,A6,BP9735_SitukAM.1,hXUPVQ-1,A11,2
PE18,B6,BP9735_SitukAM.1,hXUPVQ-1,C11,2
PE18,C6,BP9735_SitukAM.1,hXUPVQ-1,E11,2
PE18,D6,BP9735_SitukAM.1,hXUPVQ-1,G11,2
PE18,E6,BP9735_SitukAM.1,hXUPVQ-1,I11,2
PE18,F6,BP9735_SitukAM.1,hXUPVQ-1,K11,2
PE18,G6,BP9735_SitukAM.1,hXUPVQ-1,M11,2
