Sample Name*,Concentration* (ng/ul),Volume* (ul),Tube or Plate Label*,Sample Container*,Plate location (well #)* required if samples provided in a plate.,Sample Format*,Was Sample DNAse treated?*,Known / Suspected Organisms,Biosafety Material Category*,Sample Isolation Method*,Collection Year*,Collection Month*,Collection Day*,Sample Isolated From*,Collection Site or Growth Conditions* (required for RNA samples),Latitude*,Longitude*,Depth* (in meters) or minimum depth if a range,Maximum depth (in meters) if a range,Elevation* (in meters) or minimum elevation if a range,Maximum elevation (in meters) if a range,Country*,Sample Contact Name,Seq Project PI Name (No edit),Proposal ID (No edit),Control Type,Control Organism Name,Control Organism Tax ID,Internal Collaborator Sample Name
Uncultured microbe JGI Bright_BP9735_SitukAM.1_A1,10,25,XUPVQ-1,384,A1,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_SitukAM.1_A1
Uncultured microbe JGI Bright_BP9735_SitukAM.1_C1,10,25,XUPVQ-1,384,C1,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_SitukAM.1_C1
Uncultured microbe JGI Bright_BP9735_SitukAM.1_E1,10,25,XUPVQ-1,384,E1,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_SitukAM.1_E1
Uncultured microbe JGI Bright_BP9735_SitukAM.1_G1,10,25,XUPVQ-1,384,G1,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_SitukAM.1_G1
Uncultured microbe JGI Bright_BP9735_SitukAM.1_I1,10,25,XUPVQ-1,384,I1,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_SitukAM.1_I1
Uncultured microbe JGI Bright_BP9735_SitukAM.1_K1,10,25,XUPVQ-1,384,K1,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_SitukAM.1_K1
Uncultured microbe JGI Bright_BP9735_SitukAM.1_M1,10,25,XUPVQ-1,384,M1,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_SitukAM.1_M1
Uncultured microbe JGI Bright_BP9735_SitukAM.1_O1,10,25,XUPVQ-1,384,O1,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_SitukAM.1_O1
Uncultured microbe JGI Bright_BP9735_SitukAM.1_A3,10,25,XUPVQ-1,384,A3,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_SitukAM.1_A3
Uncultured microbe JGI Bright_BP9735_SitukAM.1_C3,10,25,XUPVQ-1,384,C3,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_SitukAM.1_C3
