Plate_ID,Well,Sample,Type,number_of_cells/capsules,Group_1,Group_2,Group_3,Index_Set,Index_Well,Index_Name,Plate_Barcode,FA_Well,dilution_factor,ng/uL,nmole/L,Avg. Size,Passed_library,Failed_index_sets,Redo_whole_plate,selected_for_pooling
BP9735_SitukAM.1,A1,SitukAM,sample,1.0,Bright,,,PE18,A1,PE18_A01,XUPVQ-1,A1,20.0,81.868,186.704,722.0,1.0,[],0.0,1
BP9735_SitukAM.1,B1,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,C1,SitukAM,sample,1.0,Bright,,,PE18,B1,PE18_B01,XUPVQ-1,B1,20.0,4.456,11.888,617.0,1.0,[],0.0,1
BP9735_SitukAM.1,D1,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,E1,SitukAM,sample,1.0,Bright,,,PE18,C1,PE18_C01,XUPVQ-1,C1,20.0,3.012,8.194,605.0,1.0,[],0.0,1
BP9735_SitukAM.1,F1,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,G1,SitukAM,sample,1.0,Bright,,,PE18,D1,PE18_D01,XUPVQ-1,D1,20.0,3.508,9.336,618.0,1.0,[],0.0,1
BP9735_SitukAM.1,H1,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,I1,SitukAM,sample,1.0,Bright,,,PE18,E1,PE18_E01,XUPVQ-1,E1,20.0,2.464,6.46,628.0,1.0,[],0.0,1
BP9735_SitukAM.1,J1,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,K1,SitukAM,sample,1.0,Bright,,,PE18,F1,PE18_F01,XUPVQ-1,F1,20.0,7.1,19.386,603.0,1.0,[],0.0,1
BP9735_SitukAM.1,L1,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,M1,SitukAM,sample,1.0,Bright,,,PE18,G1,PE18_G01,XUPVQ-1,G1,20.0,4.118,11.014,615.0,1.0,[],0.0,1
BP9735_SitukAM.1,N1,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
