Plate_ID,Well_Row,Well_Col,Well,Sample,Type,number_of_cells/capsules,Group_1,Group_2,Group_3
,A,1,A1,,sample,1,Bright,,
,A,2,A2,,unused,,,,
,A,3,A3,,sample,1,Bright,,
,A,4,A4,,unused,,,,
,A,5,A5,,sample,1,Bright,,
,A,6,A6,,unused,,,,
,A,7,A7,,sample,1,Bright,,
,A,8,A8,,unused,,,,
,A,9,A9,,sample,1,Bright,,
,A,10,A10,,unused,,,,
,A,11,A11,,sample,1,Bright,,
,A,12,A12,,unused,,,,
,A,13,A13,,sample,1,Bright,,
,A,14,A14,,unused,,,,
,A,15,A15,,sample,1,Bright,,
,A,16,A16,,unused,,,,
,A,17,A17,,sample,1,Bright,,
,A,18,A18,,unused,,,,
,A,19,A19,,sample,1,Bright,,
,A,20,A20,,unused,,,,
,A,21,A21,,sample,1,Bright,,
,A,22,A22,,unused,,,,
,A,23,A23,,neg_cntrl,0,empty,,
,A,24,A24,,unused,,,,
,B,1,B1,,unused,,,,
,B,2,B2,,unused,,,,
,B,3,B3,,unused,,,,
,B,4,B4,,unused,,,,
,B,5,B5,,unused,,,,
,B,6,B6,,unused,,,,
,B,7,B7,,unused,,,,
,B,8,B8,,unused,,,,
,B,9,B9,,unused,,,,
,B,10,B10,,unused,,,,
,B,11,B11,,unused,,,,
,B,12,B12,,unused,,,,
,B,13,B13,,unused,,,,
,B,14,B14,,unused,,,,
,B,15,B15,,unused,,,,
,B,16,B16,,unused,,,,
,B,17,B17,,unused,,,,
,B,18,B18,,unused,,,,
,B,19,B19,,unused,,,,
,B,20,B20,,unused,,,,
,B,21,B21,,unused,,,,
,B,22,B22,,unused,,,,
,B,23,B23,,unused,,,,
,B,24,B24,,unused,,,,
,C,1,C1,,sample,1,Bright,,
,C,2,C2,,unused,,,,
,C,3,C3,,sample,1,Bright,,
,C,4,C4,,unused,,,,
,C,5,C5,,sample,1,Bright,,
,C,6,C6,,unused,,,,
,C,7,C7,,sample,1,Bright,,
,C,8,C8,,unused,,,,
,C,9,C9,,sample,1,Bright,,
,C,10,C10,,unused,,,,
,C,11,C11,,sample,1,Bright,,
,C,12,C12,,unused,,,,
,C,13,C13,,sample,1,Bright,,
,C,14,C14,,unused,,,,
,C,15,C15,,sample,1,Bright,,
,C,16,C16,,unused,,,,
,C,17,C17,,sample,1,Bright,,
,C,18,C18,,unused,,,,
,C,19,C19,,sample,1,Bright,,
,C,20,C20,,unused,,,,
,C,21,C21,,sample,1,Bright,,
,C,22,C22,,unused,,,,
,C,23,C23,,neg_cntrl,0,empty,,
,C,24,C24,,unused,,,,
,D,1,D1,,unused,,,,
,D,2,D2,,unused,,,,
,D,3,D3,,unused,,,,
,D,4,D4,,unused,,,,
,D,5,D5,,unused,,,,
,D,6,D6,,unused,,,,
,D,7,D7,,unused,,,,
,D,8,D8,,unused,,,,
,D,9,D9,,unused,,,,
,D,10,D10,,unused,,,,
,D,11,D11,,unused,,,,
,D,12,D12,,unused,,,,
,D,13,D13,,unused,,,,
,D,14,D14,,unused,,,,
,D,15,D15,,unused,,,,
,D,16,D16,,unused,,,,
,D,17,D17,,unused,,,,
,D,18,D18,,unused,,,,
,D,19,D19,,unused,,,,
,D,20,D20,,unused,,,,
,D,21,D21,,unused,,,,
,D,22,D22,,unused,,,,
,D,23,D23,,unused,,,,
,D,24,D24,,unused,,,,
,E,1,E1,,sample,1,Bright,,
,E,2,E2,,unused,,,,
,E,3,E3,,sample,1,Bright,,
,E,4,E4,,unused,,,,
,E,5,E5,,sample,1,Bright,,
,E,6,E6,,unused,,,,
,E,7,E7,,sample,1,Bright,,
,E,8,E8,,unused,,,,
,E,9,E9,,sample,1,Bright,,
,E,10,E10,,unused,,,,
,E,11,E11,,sample,1,Bright,,
,E,12,E12,,unused,,,,
,E,13,E13,,sample,1,Bright,,
,E,14,E14,,unused,,,,
,E,15,E15,,sample,1,Bright,,
,E,16,E16,,unused,,,,
,E,17,E17,,sample,1,Bright,,
,E,18,E18,,unused,,,,
,E,19,E19,,sample,1,Bright,,
,E,20,E20,,unused,,,,
,E,21,E21,,sample,1,Bright,,
,E,22,E22,,unused,,,,
,E,23,E23,,pos_cntrl,,DNA,,
,E,24,E24,,unused,,,,
,F,1,F1,,unused,,,,
,F,2,F2,,unused,,,,
,F,3,F3,,unused,,,,
,F,4,F4,,unused,,,,
,F,5,F5,,unused,,,,
,F,6,F6,,unused,,,,
,F,7,F7,,unused,,,,
,F,8,F8,,unused,,,,
,F,9,F9,,unused,,,,
,F,10,F10,,unused,,,,
,F,11,F11,,unused,,,,
,F,12,F12,,unused,,,,
,F,13,F13,,unused,,,,
,F,14,F14,,unused,,,,
,F,15,F15,,unused,,,,
,F,16,F16,,unused,,,,
,F,17,F17,,unused,,,,
,F,18,F18,,unused,,,,
,F,19,F19,,unused,,,,
,F,20,F20,,unused,,,,
,F,21,F21,,unused,,,,
,F,22,F22,,unused,,,,
,F,23,F23,,unused,,,,
,F,24,F24,,unused,,,,
,G,1,G1,,sample,1,Bright,,
,G,2,G2,,unused,,,,
,G,3,G3,,sample,1,Bright,,
,G,4,G4,,unused,,,,
,G,5,G5,,sample,1,Bright,,
,G,6,G6,,unused,,,,
,G,7,G7,,sample,1,Bright,,
,G,8,G8,,unused,,,,
,G,9,G9,,sample,1,Bright,,
,G,10,G10,,unused,,,,
,G,11,G11,,sample,1,Bright,,
,G,12,G12,,unused,,,,
,G,13,G13,,sample,1,Bright,,
,G,14,G14,,unused,,,,
,G,15,G15,,sample,1,Bright,,
,G,16,G16,,unused,,,,
,G,17,G17,,sample,1,Bright,,
,G,18,G18,,unused,,,,
,G,19,G19,,sample,1,Bright,,
,G,20,G20,,unused,,,,
,G,21,G21,,sample,1,Bright,,
,G,22,G22,,unused,,,,
,G,23,G23,,pos_cntrl,,DNA,,
,G,24,G24,,unused,,,,
,H,1,H1,,unused,,,,
,H,2,H2,,unused,,,,
,H,3,H3,,unused,,,,
,H,4,H4,,unused,,,,
,H,5,H5,,unused,,,,
,H,6,H6,,unused,,,,
,H,7,H7,,unused,,,,
,H,8,H8,,unused,,,,
,H,9,H9,,unused,,,,
,H,10,H10,,unused,,,,
,H,11,H11,,unused,,,,
,H,12,H12,,unused,,,,
,H,13,H13,,unused,,,,
,H,14,H14,,unused,,,,
,H,15,H15,,unused,,,,
,H,16,H16,,unused,,,,
,H,17,H17,,unused,,,,
,H,18,H18,,unused,,,,
,H,19,H19,,unused,,,,
,H,20,H20,,unused,,,,
,H,21,H21,,unused,,,,
,H,22,H22,,unused,,,,
,H,23,H23,,unused,,,,
,H,24,H24,,unused,,,,
,I,1,I1,,sample,1,Bright,,
,I,2,I2,,unused,,,,
,I,3,I3,,sample,1,Bright,,
,I,4,I4,,unused,,,,
,I,5,I5,,sample,1,Bright,,
,I,6,I6,,unused,,,,
,I,7,I7,,sample,1,Bright,,
,I,8,I8,,unused,,,,
,I,9,I9,,sample,1,Bright,,
,I,10,I10,,unused,,,,
,I,11,I11,,sample,1,Bright,,
,I,12,I12,,unused,,,,
,I,13,I13,,sample,1,Bright,,
,I,14,I14,,unused,,,,
,I,15,I15,,sample,1,Bright,,
,I,16,I16,,unused,,,,
,I,17,I17,,sample,1,Bright,,
,I,18,I18,,unused,,,,
,I,19,I19,,sample,1,Bright,,
,I,20,I20,,unused,,,,
,I,21,I21,,sample,1,Bright,,
,I,22,I22,,unused,,,,
,I,23,I23,,unused,,,,
,I,24,I24,,unused,,,,
,J,1,J1,,unused,,,,
,J,2,J2,,unused,,,,
,J,3,J3,,unused,,,,
,J,4,J4,,unused,,,,
,J,5,J5,,unused,,,,
,J,6,J6,,unused,,,,
,J,7,J7,,unused,,,,
,J,8,J8,,unused,,,,
,J,9,J9,,unused,,,,
,J,10,J10,,unused,,,,
,J,11,J11,,unused,,,,
,J,12,J12,,unused,,,,
,J,13,J13,,unused,,,,
,J,14,J14,,unused,,,,
,J,15,J15,,unused,,,,
,J,16,J16,,unused,,,,
,J,17,J17,,unused,,,,
,J,18,J18,,unused,,,,
,J,19,J19,,unused,,,,
,J,20,J20,,unused,,,,
,J,21,J21,,unused,,,,
,J,22,J22,,unused,,,,
,J,23,J23,,unused,,,,
,J,24,J24,,unused,,,,
,K,1,K1,,sample,1,Bright,,
,K,2,K2,,unused,,,,
,K,3,K3,,sample,1,Bright,,
,K,4,K4,,unused,,,,
,K,5,K5,,sample,1,Bright,,
,K,6,K6,,unused,,,,
,K,7,K7,,sample,1,Bright,,
,K,8,K8,,unused,,,,
,K,9,K9,,sample,1,Bright,,
,K,10,K10,,unused,,,,
,K,11,K11,,sample,1,Bright,,
,K,12,K12,,unused,,,,
,K,13,K13,,sample,1,Bright,,
,K,14,K14,,unused,,,,
,K,15,K15,,sample,1,Bright,,
,K,16,K16,,unused,,,,
,K,17,K17,,sample,1,Bright,,
,K,18,K18,,unused,,,,
,K,19,K19,,sample,1,Bright,,
,K,20,K20,,unused,,,,
,K,21,K21,,sample,1,Bright,,
,K,22,K22,,unused,,,,
,K,23,K23,,unused,,,,
,K,24,K24,,unused,,,,
,L,1,L1,,unused,,,,
,L,2,L2,,unused,,,,
,L,3,L3,,unused,,,,
,L,4,L4,,unused,,,,
,L,5,L5,,unused,,,,
,L,6,L6,,unused,,,,
,L,7,L7,,unused,,,,
,L,8,L8,,unused,,,,
,L,9,L9,,unused,,,,
,L,10,L10,,unused,,,,
,L,11,L11,,unused,,,,
,L,12,L12,,unused,,,,
,L,13,L13,,unused,,,,
,L,14,L14,,unused,,,,
,L,15,L15,,unused,,,,
,L,16,L16,,unused,,,,
,L,17,L17,,unused,,,,
,L,18,L18,,unused,,,,
,L,19,L19,,unused,,,,
,L,20,L20,,unused,,,,
,L,21,L21,,unused,,,,
,L,22,L22,,unused,,,,
,L,23,L23,,unused,,,,
,L,24,L24,,unused,,,,
,M,1,M1,,sample,1,Bright,,
,M,2,M2,,unused,,,,
,M,3,M3,,sample,1,Bright,,
,M,4,M4,,unused,,,,
,M,5,M5,,sample,1,Bright,,
,M,6,M6,,unused,,,,
,M,7,M7,,sample,1,Bright,,
,M,8,M8,,unused,,,,
,M,9,M9,,sample,1,Bright,,
,M,10,M10,,unused,,,,
,M,11,M11,,sample,1,Bright,,
,M,12,M12,,unused,,,,
,M,13,M13,,sample,1,Bright,,
,M,14,M14,,unused,,,,
,M,15,M15,,sample,1,Bright,,
,M,16,M16,,unused,,,,
,M,17,M17,,sample,1,Bright,,
,M,18,M18,,unused,,,,
,M,19,M19,,sample,1,Bright,,
,M,20,M20,,unused,,,,
,M,21,M21,,sample,1,Bright,,
,M,22,M22,,unused,,,,
,M,23,M23,,unused,,,,
,M,24,M24,,unused,,,,
,N,1,N1,,unused,,,,
,N,2,N2,,unused,,,,
,N,3,N3,,unused,,,,
,N,4,N4,,unused,,,,
,N,5,N5,,unused,,,,
,N,6,N6,,unused,,,,
,N,7,N7,,unused,,,,
,N,8,N8,,unused,,,,
,N,9,N9,,unused,,,,
,N,10,N10,,unused,,,,
,N,11,N11,,unused,,,,
,N,12,N12,,unused,,,,
,N,13,N13,,unused,,,,
,N,14,N14,,unused,,,,
,N,15,N15,,unused,,,,
,N,16,N16,,unused,,,,
,N,17,N17,,unused,,,,
,N,18,N18,,unused,,,,
,N,19,N19,,unused,,,,
,N,20,N20,,unused,,,,
,N,21,N21,,unused,,,,
,N,22,N22,,unused,,,,
,N,23,N23,,unused,,,,
,N,24,N24,,unused,,,,
,O,1,O1,,sample,1,Bright,,
,O,2,O2,,unused,,,,
,O,3,O3,,sample,1,Bright,,
,O,4,O4,,unused,,,,
,O,5,O5,,sample,1,Bright,,
,O,6,O6,,unused,,,,
,O,7,O7,,sample,1,Bright,,
,O,8,O8,,unused,,,,
,O,9,O9,,sample,1,Bright,,
,O,10,O10,,unused,,,,
,O,11,O11,,sample,1,Bright,,
,O,12,O12,,unused,,,,
,O,13,O13,,sample,1,Bright,,
,O,14,O14,,unused,,,,
,O,15,O15,,sample,1,Bright,,
,O,16,O16,,unused,,,,
,O,17,O17,,sample,1,Bright,,
,O,18,O18,,unused,,,,
,O,19,O19,,sample,1,Bright,,
,O,20,O20,,unused,,,,
,O,21,O21,,sample,1,Bright,,
,O,22,O22,,unused,,,,
,O,23,O23,,unused,,,,
,O,24,O24,,unused,,,,
,P,1,P1,,unused,,,,
,P,2,P2,,unused,,,,
,P,3,P3,,unused,,,,
,P,4,P4,,unused,,,,
,P,5,P5,,unused,,,,
,P,6,P6,,unused,,,,
,P,7,P7,,unused,,,,
,P,8,P8,,unused,,,,
,P,9,P9,,unused,,,,
,P,10,P10,,unused,,,,
,P,11,P11,,unused,,,,
,P,12,P12,,unused,,,,
,P,13,P13,,unused,,,,
,P,14,P14,,unused,,,,
,P,15,P15,,unused,,,,
,P,16,P16,,unused,,,,
,P,17,P17,,unused,,,,
,P,18,P18,,unused,,,,
,P,19,P19,,unused,,,,
,P,20,P20,,unused,,,,
,P,21,P21,,unused,,,,
,P,22,P22,,unused,,,,
,P,23,P23,,unused,,,,
,P,24,P24,,unused,,,,
