Well,Sample ID,Range,ng/uL,% Total,nmole/L,Avg. Size,%CV,Size Threshold (b.p.),DQN
A1,XUPVQ-3_BP4444_RexRM.1_A1,100 bp to 4000 bp,2.1395,49,4.8917,720,64.24,300,8.5
B1,XUPVQ-3_BP4444_RexRM.1_C1,400 bp to 800 bp,0.017,5.1,0.0426,654,16.01,300,6.8
C1,XUPVQ-3_BP4444_RexRM.1_E1,400 bp to 800 bp,0.0113,3.8,0.0285,656,13.53,300,6.4
D1,XUPVQ-3_BP4444_RexRM.1_G1,400 bp to 800 bp,0.0217,6.5,0.0582,614,16.75,300,6.3
E1,XUPVQ-3_BP4444_RexRM.1_I1,400 bp to 800 bp,0.0211,7.3,0.0542,639,16.14,300,6.7
F1,XUPVQ-3_BP4444_RexRM.1_K1,400 bp to 800 bp,0.0093,2.3,0.0237,646,13.26,300,6.5
G1,XUPVQ-3_BP4444_RexRM.1_M1,400 bp to 800 bp,0.0294,8.2,0.0838,578,20.55,300,7.4
H1,XUPVQ-3_BP4444_RexRM.1_O1,100 bp to 4000 bp,2.7005,52.1,5.9702,744,61.61,300,8.7
A2,XUPVQ-3_BP4444_RexRM.1_A3,400 bp to 800 bp,0.0346,11.3,0.094,606,17.93,300,7.1
B2,XUPVQ-3_BP4444_RexRM.1_C3,400 bp to 800 bp,0.1672,23.1,0.4528,608,18.53,300,9.3
C2,XUPVQ-3_BP4444_RexRM.1_E3,400 bp to 800 bp,0.1195,25.5,0.3258,604,18.68,300,9.1
D2,XUPVQ-3_BP4444_RexRM.1_G3,400 bp to 800 bp,0.2844,23.4,0.7782,601,18.84,300,9.1
E2,XUPVQ-3_BP4444_RexRM.1_I3,400 bp to 800 bp,0.2318,27.7,0.6291,606,18.47,300,9.4
F2,XUPVQ-3_BP4444_RexRM.1_K3,400 bp to 800 bp,0.2423,27.3,0.6649,600,18.87,300,9.2
G2,XUPVQ-3_BP4444_RexRM.1_M3,400 bp to 800 bp,0.13,25.7,0.3522,607,18.32,300,9.2
H2,XUPVQ-3_BP4444_RexRM.1_O3,400 bp to 800 bp,0.2373,24.5,0.6458,605,18.7,300,9.3
A3,XUPVQ-3_BP4444_RexRM.1_A5,400 bp to 800 bp,0.1763,28.4,0.479,606,18.09,300,9.2
B3,XUPVQ-3_BP4444_RexRM.1_C5,400 bp to 800 bp,0.1813,23.9,0.5027,594,19.07,300,8.7
