Plate_ID,Well_Row,Well_Col,Well,Sample,Type,number_of_cells/capsules,Group_1,Group_2,Group_3
,A,1,A1,,sample,1,,,
,B,1,B1,,unused,,,,
,C,1,C1,,sample,1,,,
,D,1,D1,,unused,,,,
,E,1,E1,,sample,1,,,
,F,1,F1,,unused,,,,
,G,1,G1,,sample,1,,,
,H,1,H1,,unused,,,,
,I,1,I1,,sample,1,,,
,J,1,J1,,unused,,,,
,K,1,K1,,sample,1,,,
,L,1,L1,,unused,,,,
,M,1,M1,,sample,1,,,
,N,1,N1,,unused,,,,
,O,1,O1,,sample,1,,,
,P,1,P1,,unused,,,,
,A,2,A2,,unused,,,,
,B,2,B2,,unused,,,,
,C,2,C2,,unused,,,,
,D,2,D2,,unused,,,,
,E,2,E2,,unused,,,,
,F,2,F2,,unused,,,,
,G,2,G2,,unused,,,,
,H,2,H2,,unused,,,,
,I,2,I2,,unused,,,,
,J,2,J2,,unused,,,,
,K,2,K2,,unused,,,,
,L,2,L2,,unused,,,,
,M,2,M2,,unused,,,,
,N,2,N2,,unused,,,,
,O,2,O2,,unused,,,,
,P,2,P2,,unused,,,,
,A,3,A3,,sample,1,,,
,B,3,B3,,unused,,,,
,C,3,C3,,sample,1,,,
,D,3,D3,,unused,,,,
,E,3,E3,,sample,1,,,
,F,3,F3,,unused,,,,
,G,3,G3,,sample,1,,,
,H,3,H3,,unused,,,,
,I,3,I3,,sample,1,,,
,J,3,J3,,unused,,,,
,K,3,K3,,sample,1,,,
,L,3,L3,,unused,,,,
,M,3,M3,,sample,1,,,
,N,3,N3,,unused,,,,
,O,3,O3,,sample,1,,,
,P,3,P3,,unused,,,,
,A,4,A4,,unused,,,,
,B,4,B4,,unused,,,,
,C,4,C4,,unused,,,,
,D,4,D4,,unused,,,,
,E,4,E4,,unused,,,,
,F,4,F4,,unused,,,,
,G,4,G4,,unused,,,,
,H,4,H4,,unused,,,,
,I,4,I4,,unused,,,,
,J,4,J4,,unused,,,,
,K,4,K4,,unused,,,,
,L,4,L4,,unused,,,,
,M,4,M4,,unused,,,,
,N,4,N4,,unused,,,,
,O,4,O4,,unused,,,,
,P,4,P4,,unused,,,,
,A,5,A5,,sample,1,,,
